Tabulated Kremer-Grest potential
Columns are R, F(r)/r and U(r)
Header reads: N_pts, r_min and r_max (r_max is also r_cutoff)
# 10000 0.500000 1.499900
0.540700 -259617.820936 6251.573435
0.540800 -258942.811683 6237.552876
0.540900 -258269.677458 6223.566181
0.541000 -257598.412715 6209.613262
0.541100 -256929.011922 6195.694033
0.541200 -256261.469568 6181.808405
0.541300 -255595.780155 6167.956291
0.541400 -254931.938207 6154.137606
0.541500 -254269.938262 6140.352261
0.541600 -253609.774876 6126.600171
0.541700 -252951.442623 6112.881250
0.541800 -252294.936091 6099.195412
0.541900 -251640.249889 6085.542571
0.542000 -250987.378641 6071.922642
0.542100 -250336.316986 6058.335539
0.542200 -249687.059584 6044.781178
0.542300 -249039.601108 6031.259474
0.542400 -248393.936250 6017.770343
0.542500 -247750.059716 6004.313700
0.542600 -247107.966233 5990.889462
0.542700 -246467.650539 5977.497544
0.542800 -245829.107393 5964.137863
0.542900 -245192.331569 5950.810336
0.543000 -244557.317856 5937.514879
0.543100 -243924.061061 5924.251411
0.543200 -243292.556006 5911.019848
0.543300 -242662.797531 5897.820108
0.543400 -242034.780489 5884.652108
0.543500 -241408.499753 5871.515768
0.543600 -240783.950209 5858.411004
0.543700 -240161.126761 5845.337737
0.543800 -239540.024327 5832.295883
0.543900 -238920.637843 5819.285364
0.544000 -238302.962258 5806.306096
0.544100 -237686.992540 5793.358001
0.544200 -237072.723670 5780.440998
0.544300 -236460.150647 5767.555006
0.544400 -235849.268484 5754.699946
0.544500 -235240.072211 5741.875738
0.544600 -234632.556870 5729.082302
0.544700 -234026.717524 5716.319560
0.544800 -233422.549246 5703.587431
0.544900 -232820.047129 5690.885839
0.545000 -232219.206277 5678.214703
0.545100 -231620.021813 5665.573945
0.545200 -231022.488872 5652.963488
0.545300 -230426.602608 5640.383253
0.545400 -229832.358186 5627.833163
0.545500 -229239.750788 5615.313139
0.545600 -228648.775611 5602.823106
0.545700 -228059.427868 5590.362985
0.545800 -227471.702785 5577.932700
0.545900 -226885.595603 5565.532174
0.546000 -226301.101580 5553.161331
0.546100 -225718.215986 5540.820094
0.546200 -225136.934107 5528.508387
0.546300 -224557.251244 5516.226135
0.546400 -223979.162712 5503.973262
0.546500 -223402.663841 5491.749692
0.546600 -222827.749975 5479.555351
0.546700 -222254.416472 5467.390162
0.546800 -221682.658708 5455.254053
0.546900 -221112.472068 5443.146947
0.547000 -220543.851954 5431.068771
0.547100 -219976.793784 5419.019449
0.547200 -219411.292987 5406.998910
0.547300 -218847.345007 5395.007078
0.547400 -218284.945305 5383.043879
0.547500 -217724.089352 5371.109242
0.547600 -217164.772636 5359.203092
0.547700 -216606.990658 5347.325356
0.547800 -216050.738932 5335.475962
0.547900 -215496.012987 5323.654837
0.548000 -214942.808366 5311.861909
0.548100 -214391.120626 5300.097105
0.548200 -213840.945336 5288.360354
0.548300 -213292.278081 5276.651584
0.548400 -212745.114459 5264.970723
0.548500 -212199.450080 5253.317700
0.548600 -211655.280570 5241.692443
0.548700 -211112.601568 5230.094882
